"opportunity_id","sales_agent","product","account","deal_stage","engage_date","close_date","close_value","engage_status","close_status","quarter","sector","year_established","revenue","employees","office_location","subsidiary_of","series","sales_price","manager","regional_office"
"R617R51D","Niesha Huffines","GTX Basic","Cancity","Won","2017-05-27","2017-09-03","540","Engaged","Closed","Q3","retail",2001,"718.62",2448,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"2LTS2CL8","Niesha Huffines","MG Special","Streethex","Lost","2017-05-26","2017-05-31","0","Engaged","Closed","Q2","retail",1988,"1376.8",1165,"Belgium",NULL,"MG","55","Melvin Marxen","Central"
"WGSS08LF","Niesha Huffines","GTX Pro","Dambase","Lost","2017-05-24","2017-08-26","0","Engaged","Closed","Q3","marketing",1995,"2173.98",2928,"United States","Inity","GTX","4821","Melvin Marxen","Central"
"RA77E84P","Niesha Huffines","GTX Basic","Globex Corporation","Won","2017-05-23","2017-09-08","578","Engaged","Closed","Q3","technology",2000,"1223.72",2497,"Norway",NULL,"GTX","550","Melvin Marxen","Central"
"SS9FXCS2","Niesha Huffines","MG Special","Bioholding","Won","2017-05-21","2017-08-01","57","Engaged","Closed","Q3","medical",2012,"587.34",1356,"Philipines",NULL,"MG","55","Melvin Marxen","Central"
"RXIQFV8D","Niesha Huffines","MG Special","Dontechi","Won","2017-05-20","2017-08-09","60","Engaged","Closed","Q3","software",1982,"4618",10083,"United States",NULL,"MG","55","Melvin Marxen","Central"
"D4Z6IL8W","Niesha Huffines","GTX Basic","Rundofase","Won","2017-05-18","2017-06-05","616","Engaged","Closed","Q2","technology",1983,"1008.06",1238,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"S983P5KR","Niesha Huffines","GTX Basic","Inity","Lost","2017-05-15","2017-08-11","0","Engaged","Closed","Q3","marketing",1986,"2403.58",8801,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"V3KGPHH9","Niesha Huffines","GTX Plus Basic","Stanredtax","Won","2017-05-14","2017-06-07","1064","Engaged","Closed","Q2","finance",1987,"1698.2",3798,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"OPL7DH0Q","Niesha Huffines","GTX Plus Basic","Dontechi","Lost","2017-05-13","2017-08-24","0","Engaged","Closed","Q3","software",1982,"4618",10083,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"9C2RRH1Q","Niesha Huffines","GTX Plus Basic","Toughzap","Lost","2017-05-10","2017-09-19","0","Engaged","Closed","Q3","retail",1995,"332.43",799,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"6C1DLYBH","Niesha Huffines","MG Special","Ron-Tech","Lost","2017-05-09","2017-08-22","0","Engaged","Closed","Q3","medical",1992,"3922.42",6837,"United States",NULL,"MG","55","Melvin Marxen","Central"
"WAN7I53E","Niesha Huffines","GTX Plus Basic","Ron-Tech","Lost","2017-05-09","2017-05-20","0","Engaged","Closed","Q2","medical",1992,"3922.42",6837,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"P8LGQH9G","Niesha Huffines","GTX Pro","Genco Pura Olive Oil Company","Lost","2017-06-18","2017-06-21","0","Engaged","Closed","Q2","retail",2007,"894.33",1635,"Italy",NULL,"GTX","4821","Melvin Marxen","Central"
"D3M1KUQ2","Niesha Huffines","MG Special","Codehow","Lost","2017-05-06","2017-05-26","0","Engaged","Closed","Q2","software",1998,"2714.9",2641,"United States","Acme Corporation","MG","55","Melvin Marxen","Central"
"OG13XT4P","Niesha Huffines","MG Special","Ron-Tech","Won","2017-06-14","2017-09-19","54","Engaged","Closed","Q3","medical",1992,"3922.42",6837,"United States",NULL,"MG","55","Melvin Marxen","Central"
"WB974HS4","Niesha Huffines","GTX Plus Basic","Funholding","Won","2017-05-05","2017-09-18","984","Engaged","Closed","Q3","finance",1991,"2819.5",7227,"United States","Golddex","GTX","1096","Melvin Marxen","Central"
"JEPAVEO7","Niesha Huffines","GTX Plus Basic","Stanredtax","Won","2017-05-04","2017-06-20","1188","Engaged","Closed","Q2","finance",1987,"1698.2",3798,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"KTX7ETCE","Niesha Huffines","GTX Basic","Genco Pura Olive Oil Company","Won","2017-05-04","2017-08-05","528","Engaged","Closed","Q3","retail",2007,"894.33",1635,"Italy",NULL,"GTX","550","Melvin Marxen","Central"
"CE852VBF","Niesha Huffines","GTX Plus Basic","Stanredtax","Lost","2017-05-04","2017-08-25","0","Engaged","Closed","Q3","finance",1987,"1698.2",3798,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"523458T9","Niesha Huffines","GTX Basic","Scottech","Won","2017-05-01","2017-05-16","554","Engaged","Closed","Q2","marketing",2012,"45.39",100,"United States","Inity","GTX","550","Melvin Marxen","Central"
"IRBQH4FY","Niesha Huffines","MG Advanced","Gogozoom","Won","2017-04-27","2017-05-10","3397","Engaged","Closed","Q2","telecommunications",2007,"86.68",187,"United States","Sonron","MG","3393","Melvin Marxen","Central"
"3LO8XJBY","Niesha Huffines","MG Special","Condax","Won","2017-04-26","2017-06-05","54","Engaged","Closed","Q2","medical",2017,"4.54",9,"United States",NULL,"MG","55","Melvin Marxen","Central"
"EUE812O3","Niesha Huffines","GTX Plus Pro","Treequote","Won","2017-04-25","2017-05-11","6039","Engaged","Closed","Q2","telecommunications",1988,"5266.09",8595,"United States","Sonron","GTX","5482","Melvin Marxen","Central"
"2ZEFCKS3","Niesha Huffines","GTX Pro","Rundofase","Won","2017-04-23","2017-09-01","4835","Engaged","Closed","Q3","technology",1983,"1008.06",1238,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"7RJMI3GC","Niesha Huffines","GTX Basic","Genco Pura Olive Oil Company","Won","2017-04-23","2017-04-24","554","Engaged","Closed","Q2","retail",2007,"894.33",1635,"Italy",NULL,"GTX","550","Melvin Marxen","Central"
"ZQ7TYNUV","Niesha Huffines","GTX Plus Pro","Streethex","Won","2017-04-22","2017-04-30","6384","Engaged","Closed","Q2","retail",1988,"1376.8",1165,"Belgium",NULL,"GTX","5482","Melvin Marxen","Central"
"U1J4YN0I","Niesha Huffines","GTX Basic","Cancity","Lost","2017-04-19","2017-04-21","0","Engaged","Closed","Q2","retail",2001,"718.62",2448,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"JHLG51ZI","Niesha Huffines","MG Advanced","Inity","Won","2017-04-18","2017-04-19","3392","Engaged","Closed","Q2","marketing",1986,"2403.58",8801,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"KK4VW0ZM","Niesha Huffines","MG Advanced","Ron-Tech","Lost","2017-04-18","2017-05-22","0","Engaged","Closed","Q2","medical",1992,"3922.42",6837,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"BCUR8B2A","Niesha Huffines","GTX Basic","Inity","Won","2017-04-17","2017-06-06","491","Engaged","Closed","Q2","marketing",1986,"2403.58",8801,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"SFCT64YG","Niesha Huffines","GTX Basic","Inity","Won","2017-05-15","2017-09-05","545","Engaged","Closed","Q3","marketing",1986,"2403.58",8801,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"K0ZYCW3U","Niesha Huffines","GTX Basic","Dontechi","Won","2017-05-15","2017-06-27","603","Engaged","Closed","Q2","software",1982,"4618",10083,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"4T2XENE2","Niesha Huffines","GTX Plus Basic","Scottech","Lost","2017-04-13","2017-06-16","0","Engaged","Closed","Q2","marketing",2012,"45.39",100,"United States","Inity","GTX","1096","Melvin Marxen","Central"
"J75N0QYA","Niesha Huffines","MG Special","Gogozoom","Won","2017-04-11","2017-04-13","55","Engaged","Closed","Q2","telecommunications",2007,"86.68",187,"United States","Sonron","MG","55","Melvin Marxen","Central"
"0PSKGNYE","Niesha Huffines","GTX Basic","Gogozoom","Won","2017-04-11","2017-04-12","504","Engaged","Closed","Q2","telecommunications",2007,"86.68",187,"United States","Sonron","GTX","550","Melvin Marxen","Central"
"QDRYCR05","Niesha Huffines","GTX Plus Basic","Konmatfix","Won","2017-04-09","2017-04-10","970","Engaged","Closed","Q2","marketing",1985,"375.43",1190,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"2SGRE4VE","Niesha Huffines","GTX Basic","Cancity","Lost","2017-04-07","2017-04-16","0","Engaged","Closed","Q2","retail",2001,"718.62",2448,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"3DB2J8UR","Niesha Huffines","GTX Basic","Isdom","Lost","2017-04-06","2017-04-16","0","Engaged","Closed","Q2","medical",2002,"3178.24",4540,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"CNO8JPLA","Niesha Huffines","GTX Basic","Condax","Won","2017-04-30","2017-05-06","557","Engaged","Closed","Q2","medical",2017,"4.54",9,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"SBLP2LJB","Niesha Huffines","GTX Plus Basic","Betatech","Won","2017-04-04","2017-06-11","1067","Engaged","Closed","Q2","medical",1986,"647.18",1185,"Kenya",NULL,"GTX","1096","Melvin Marxen","Central"
"26XU4887","Niesha Huffines","GTX Basic","Hottechi","Won","2017-04-01","2017-04-10","531","Engaged","Closed","Q2","technology",1997,"8170.38",16499,"Korea",NULL,"GTX","550","Melvin Marxen","Central"
"A3D8MRDX","Niesha Huffines","GTX Pro","Dontechi","Won","2017-03-26","2017-05-12","4280","Engaged","Closed","Q2","software",1982,"4618",10083,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"EBTJPEEY","Niesha Huffines","GTX Basic","Streethex","Won","2017-03-25","2017-05-31","571","Engaged","Closed","Q2","retail",1988,"1376.8",1165,"Belgium",NULL,"GTX","550","Melvin Marxen","Central"
"2DOJKFNW","Niesha Huffines","MG Advanced","Dambase","Lost","2017-04-11","2017-04-12","0","Engaged","Closed","Q2","marketing",1995,"2173.98",2928,"United States","Inity","MG","3393","Melvin Marxen","Central"
"4TRMURKI","Niesha Huffines","GTX Basic","Condax","Lost","2017-03-22","2017-06-18","0","Engaged","Closed","Q2","medical",2017,"4.54",9,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"JYE2QFGE","Niesha Huffines","GTX Plus Pro","Genco Pura Olive Oil Company","Won","2017-03-20","2017-05-06","5616","Engaged","Closed","Q2","retail",2007,"894.33",1635,"Italy",NULL,"GTX","5482","Melvin Marxen","Central"
"G281LUYF","Niesha Huffines","GTX Plus Basic","Finhigh","Lost","2017-03-12","2017-05-08","0","Engaged","Closed","Q2","finance",2006,"1102.43",1759,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"5OCY2XME","Niesha Huffines","GTX Plus Basic","Isdom","Won","2017-03-07","2017-06-12","1190","Engaged","Closed","Q2","medical",2002,"3178.24",4540,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"5M3Z5DS4","Niesha Huffines","GTX Plus Pro","Globex Corporation","Won","2017-03-28","2017-04-05","5972","Engaged","Closed","Q2","technology",2000,"1223.72",2497,"Norway",NULL,"GTX","5482","Melvin Marxen","Central"
"8BR6E4S6","Niesha Huffines","GTX Pro","Treequote","Lost","2017-03-04","2017-05-27","0","Engaged","Closed","Q2","telecommunications",1988,"5266.09",8595,"United States","Sonron","GTX","4821","Melvin Marxen","Central"
"AJJ7VJWA","Niesha Huffines","GTX Pro","Bioholding","Lost","2017-03-04","2017-05-02","0","Engaged","Closed","Q2","medical",2012,"587.34",1356,"Philipines",NULL,"GTX","4821","Melvin Marxen","Central"
"DK955UBP","Niesha Huffines","MG Special","Codehow","Lost","2017-02-26","2017-05-20","0","Engaged","Closed","Q2","software",1998,"2714.9",2641,"United States","Acme Corporation","MG","55","Melvin Marxen","Central"
"3N7ZXGMF","Niesha Huffines","GTX Plus Basic","Codehow","Won","2017-02-25","2017-03-06","1123","Engaged","Closed","Q1","software",1998,"2714.9",2641,"United States","Acme Corporation","GTX","1096","Melvin Marxen","Central"
"JHJEQ1U3","Niesha Huffines","GTX Plus Pro","Conecom","Won","2017-02-22","2017-03-07","5604","Engaged","Closed","Q1","technology",2005,"1520.66",1806,"United States",NULL,"GTX","5482","Melvin Marxen","Central"
"1W23LEWK","Niesha Huffines","GTX Plus Basic","Genco Pura Olive Oil Company","Won","2017-02-22","2017-05-27","1051","Engaged","Closed","Q2","retail",2007,"894.33",1635,"Italy",NULL,"GTX","1096","Melvin Marxen","Central"
"XUGTSB00","Niesha Huffines","MG Advanced","Ron-Tech","Won","2017-03-06","2017-03-19","3167","Engaged","Closed","Q1","medical",1992,"3922.42",6837,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"YJJ1BLPQ","Niesha Huffines","MG Advanced","Finhigh","Won","2017-03-06","2017-05-15","3423","Engaged","Closed","Q2","finance",2006,"1102.43",1759,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"VBWQO6BM","Niesha Huffines","MG Advanced","Conecom","Lost","2017-02-17","2017-05-14","0","Engaged","Closed","Q2","technology",2005,"1520.66",1806,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"90V75MDV","Niesha Huffines","GTX Pro","Globex Corporation","Lost","2017-02-16","2017-05-17","0","Engaged","Closed","Q2","technology",2000,"1223.72",2497,"Norway",NULL,"GTX","4821","Melvin Marxen","Central"
"OV60VIBB","Niesha Huffines","GTX Basic","Betatech","Lost","2017-02-27","2017-05-08","0","Engaged","Closed","Q2","medical",1986,"647.18",1185,"Kenya",NULL,"GTX","550","Melvin Marxen","Central"
"ZT832XIR","Niesha Huffines","MG Special","Funholding","Lost","2017-02-08","2017-06-25","0","Engaged","Closed","Q2","finance",1991,"2819.5",7227,"United States","Golddex","MG","55","Melvin Marxen","Central"
"YNP9PI1X","Niesha Huffines","GTX Plus Basic","Codehow","Won","2017-02-03","2017-06-15","1018","Engaged","Closed","Q2","software",1998,"2714.9",2641,"United States","Acme Corporation","GTX","1096","Melvin Marxen","Central"
"WRBWZRFD","Niesha Huffines","GTX Pro","Conecom","Lost","2017-02-02","2017-05-05","0","Engaged","Closed","Q2","technology",2005,"1520.66",1806,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"05DTWSVC","Niesha Huffines","MG Special","Genco Pura Olive Oil Company","Lost","2017-01-29","2017-05-05","0","Engaged","Closed","Q2","retail",2007,"894.33",1635,"Italy",NULL,"MG","55","Melvin Marxen","Central"
"S9W53L4L","Niesha Huffines","GTX Basic","Dontechi","Won","2017-02-09","2017-06-05","672","Engaged","Closed","Q2","software",1982,"4618",10083,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"80F0J70G","Niesha Huffines","GTX Basic","Funholding","Lost","2017-02-09","2017-05-25","0","Engaged","Closed","Q2","finance",1991,"2819.5",7227,"United States","Golddex","GTX","550","Melvin Marxen","Central"
"UPHN2I1Q","Niesha Huffines","MG Special","Rundofase","Won","2017-01-17","2017-05-14","55","Engaged","Closed","Q2","technology",1983,"1008.06",1238,"United States",NULL,"MG","55","Melvin Marxen","Central"
"NOVPMLOV","Niesha Huffines","GTX Plus Basic","Hottechi","Won","2017-01-17","2017-03-23","1343","Engaged","Closed","Q1","technology",1997,"8170.38",16499,"Korea",NULL,"GTX","1096","Melvin Marxen","Central"
"PHR8KB1Y","Niesha Huffines","GTX Plus Pro","Warephase","Won","2017-01-15","2017-05-15","6270","Engaged","Closed","Q2","services",1997,"2041.73",5276,"United States",NULL,"GTX","5482","Melvin Marxen","Central"
"107BPCAS","Niesha Huffines","GTX Basic","Dambase","Lost","2017-02-04","2017-05-16","0","Engaged","Closed","Q2","marketing",1995,"2173.98",2928,"United States","Inity","GTX","550","Melvin Marxen","Central"
"9N55D1AH","Niesha Huffines","MG Advanced","Treequote","Won","2016-12-26","2017-03-02","3841","Engaged","Closed","Q1","telecommunications",1988,"5266.09",8595,"United States","Sonron","MG","3393","Melvin Marxen","Central"
"LWPJEV3U","Niesha Huffines","GTX Basic","Domzoom","Lost","2016-12-24","2017-03-10","0","Engaged","Closed","Q1","entertainment",1998,"217.87",551,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"5QM4ORNT","Niesha Huffines","GTX Plus Basic","Domzoom","Won","2016-12-21","2017-03-21","1212","Engaged","Closed","Q1","entertainment",1998,"217.87",551,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"DBDUMQQK","Niesha Huffines","MG Special","Inity","Won","2016-12-10","2017-03-24","48","Engaged","Closed","Q1","marketing",1986,"2403.58",8801,"United States",NULL,"MG","55","Melvin Marxen","Central"
"VPDXX5PJ","Niesha Huffines","GTX Basic","Cancity","Won","2016-12-01","2017-03-26","546","Engaged","Closed","Q1","retail",2001,"718.62",2448,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"051QTX8Z","Niesha Huffines","GTX Plus Basic","Globex Corporation","Won","2016-11-26","2017-03-21","1080","Engaged","Closed","Q1","technology",2000,"1223.72",2497,"Norway",NULL,"GTX","1096","Melvin Marxen","Central"
"37JFKD4I","Niesha Huffines","GTX Plus Basic","Dambase","Won","2016-11-20","2017-03-09","1033","Engaged","Closed","Q1","marketing",1995,"2173.98",2928,"United States","Inity","GTX","1096","Melvin Marxen","Central"
"XRN54MBM","Niesha Huffines","GTX Basic","Ron-Tech","Won","2016-11-17","2017-03-05","487","Engaged","Closed","Q1","medical",1992,"3922.42",6837,"United States",NULL,"GTX","550","Melvin Marxen","Central"
"OLK9LKZB","Niesha Huffines","GTX Plus Basic","Zumgoity","Won","2016-11-01","2017-03-03","1026","Engaged","Closed","Q1","medical",1984,"441.08",1210,"United States",NULL,"GTX","1096","Melvin Marxen","Central"
"D6PFP040","Darcel Schlecht","GTX Pro","Dambase","Won","2017-07-22","2017-09-05","5113","Engaged","Closed","Q3","marketing",1995,"2173.98",2928,"United States","Inity","GTX","4821","Melvin Marxen","Central"
"676KO0LG","Darcel Schlecht","GTX Plus Basic","Gogozoom","Won","2017-07-22","2017-07-29","927","Engaged","Closed","Q3","telecommunications",2007,"86.68",187,"United States","Sonron","GTX","1096","Melvin Marxen","Central"
"NK1TQTYO","Darcel Schlecht","GTX Pro","Streethex","Lost","2017-07-22","2017-07-24","0","Engaged","Closed","Q3","retail",1988,"1376.8",1165,"Belgium",NULL,"GTX","4821","Melvin Marxen","Central"
"9HA8VBAP","Darcel Schlecht","MG Advanced","Donquadtech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",1992,"1712.68",3194,"United States","Acme Corporation","MG","3393","Melvin Marxen","Central"
"EJUQOEY5","Darcel Schlecht","MG Advanced","Bubba Gump","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"software",2002,"987.39",2253,"United States",NULL,"MG","3393","Melvin Marxen","Central"
"D01U08PR","Darcel Schlecht","GTX Pro","Zumgoity","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"medical",1984,"441.08",1210,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"A9DGDN56","Darcel Schlecht","GTX Pro","Zencorporation","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",2011,"40.79",142,"China",NULL,"GTX","4821","Melvin Marxen","Central"
"VJILDVVF","Darcel Schlecht","GTX Pro","Zathunicon","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"retail",2010,"71.12",144,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"99YRLZM0","Darcel Schlecht","GTX Pro","Yearin","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"retail",2005,"2261.05",3851,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"2IRZM0LB","Darcel Schlecht","GTX Pro","Xx-Zobam","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"entertainment",1989,"3838.39",8274,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"GR8JTX1T","Darcel Schlecht","GTX Pro","Warephase","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"services",1997,"2041.73",5276,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"ZGTCQT1A","Darcel Schlecht","GTX Pro","Rundofase","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",1983,"1008.06",1238,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"BV75OM0B","Darcel Schlecht","GTX Pro","Rundofase","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",1983,"1008.06",1238,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"FVVATY89","Darcel Schlecht","GTX Pro","Ron-Tech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"medical",1992,"3922.42",6837,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"4ROECHG6","Darcel Schlecht","GTX Pro","Ron-Tech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"medical",1992,"3922.42",6837,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"A8NXNY0M","Darcel Schlecht","GTX Pro","Plusstrip","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"entertainment",2002,"349.81",315,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"R6HYAPR6","Darcel Schlecht","GTX Pro","Opentech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"finance",1994,"355.23",853,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"S1U1RD6K","Darcel Schlecht","GTX Pro","Iselectrics","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",2011,"527.11",1428,"United States","Acme Corporation","GTX","4821","Melvin Marxen","Central"
"LO8L5ELD","Darcel Schlecht","GTX Pro","Inity","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"marketing",1986,"2403.58",8801,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"EYR5E7LO","Darcel Schlecht","GTX Pro","Initech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"telecommunications",1994,"6395.05",20275,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"GEQ8IGKW","Darcel Schlecht","GTX Pro","Finjob","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"employment",1988,"2059.9",3644,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"P7UPCSTC","Darcel Schlecht","GTX Pro","Faxquote","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"telecommunications",1995,"1825.82",5595,"United States","Sonron","GTX","4821","Melvin Marxen","Central"
"YKBJP191","Darcel Schlecht","GTX Pro","Faxquote","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"telecommunications",1995,"1825.82",5595,"United States","Sonron","GTX","4821","Melvin Marxen","Central"
"IHKIAB1W","Darcel Schlecht","GTX Pro","Dontechi","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"software",1982,"4618",10083,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"8XE8GGIW","Darcel Schlecht","GTX Pro","Donquadtech","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"technology",1992,"1712.68",3194,"United States","Acme Corporation","GTX","4821","Melvin Marxen","Central"
"YBWUG6QP","Darcel Schlecht","GTX Pro","Condax","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"medical",2017,"4.54",9,"United States",NULL,"GTX","4821","Melvin Marxen","Central"
"1XR36ESV","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"39NJ6UC9","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"YI92HVHO","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"F6AOT0NK","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"3PN3YSPK","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"X4THRRSJ","Darcel Schlecht","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Melvin Marxen","Central"
"7N6AHU7C","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"APXWBOOT","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"7CZU8GS1","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"TWWD62O3","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"WR9CQB8E","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"M64OQCC3","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"TR7WLH5Q","Darcel Schlecht","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Melvin Marxen","Central"
"E4YR0OE6","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"BBV196A3","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"NST2FEF3","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"PRUFERA6","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"51HOGHF0","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"D95K3R9N","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"537X47QY","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
"65SMA4OZ","Darcel Schlecht","GTX Pro","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GTX","4821","Melvin Marxen","Central"
